dia,week_day,mes,Horacerr,mun,calle,cruce,Colonia,tipo_acc,causa,tipo_auto,sexo,edad,marca_mal,marca_bien,submarca,modelo,ruta,cinturon,alcohol,monto,herido,Consec,conse_g,conse_m,conse_sem,Id,x,y,_merge,lat,long,,,,,
27,miercoles,marzo,08:01 A 10:00,zapopan,CARRETERA A TESISTAN,LAZARO CARDENAS COL JARDINES NUEVO MEXICO, JARDINES DE NUEVO MEXICO,CHOQUE,VIRAR  INDEBIDAMENTE,TRANSPORTE PUBLICO,masculino,50 A 59,MERCEDES BENS,MERCEDES-BENZ,MB,2006,SANTA LUCIA,,,,,,75,153,8642,1,658522.2634,2299980.763,matched (3),3.59449196926124,35.7791604618949,,,,,
26,miercoles,junio,16:01 A 18:00,zapopan,ACUEDUCTO AV ZAP,VALLE DE TESISTAN, JARDINES DEL VALLE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,40 A 49,GM,GENERAL MOTORS,TRACKER,N.D.,,,,,,,,242,24981,2,663133.7456,2295424.226,matched (3),,,,,,,
29,lunes,abril,18:01 A 20:00,zapopan,LAURELES AV,SANTA LUCIA ZAP, ZAPOPAN CENTRO,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,40 A 49,NISSAN,NISSAN,PATHFINDER,2017,,2,,,,,3208,3341,16090,3,668030.014,2292765.161,matched (3),,,,,,,
16,miercoles,enero,06:01 A 08:00,zapopan,PERIFERICO,JOSE PARRES ARIAS,}COL INDUSTRIAL LOS BELENES,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,20 A 29,CHEVROLET,CHEVROLET,JEEP,1996,,2,,,,1574,1584,1736,1734,4,668824.8656,2294025.532,matched (3),,,,,,,
8,lunes,abril,N.D,zapopan,PERIFERICO,LOPEZ MATEOS AV,AGRICOLA,CONTRA OBJETO FIJO,EXCEDER LIMITE DE VELOCIDAD,MOTOCICLETA,masculino,30 A 39,KTM,KTM,MOTOCICLETA,N.D.,,,,,muerto,,27,19,12768,5,663919.0101,2280296.057,matched (3),,,,,,,
4,jueves,abril,18:01 A 20:00,zapopan,CARRETERA A MORELIA,CAMINO A SANTA ANA TEPETITLAN,AGRICOLA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,50 A 59,CHRYSLER,CHRYSLER,VOYAGER,2006,,1,,,,,614,796,13545,6,663752.4841,2280044.323,matched (3),,,,,,,
28,domingo,abril,00:01 A 02:00,zapopan,PERIFERICO,LA CALMA COL AGRICOLA,AGRICOLA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,CHEVROLET,CHEVROLET,CHEVY NOVA,1978,,1,,,,,3036,3174,15923,7,663601.0701,2280700.115,matched (3),,,,,,,
30,martes,abril,18:01 A 20:00,zapopan,FLOR COL AGRICOLA,SAN JOSE COL AGRICOLA,AGRICOLA,CHOQUE,SIN ELEMENTOS,CAMION DE CARGA,masculino,20 A 29,UTILITY,N.D.,CAJA CERRADA,2014,,2,,,,,3235,3362,16111,8,663190.2717,2280641.385,matched (3),,,,,,,
2,martes,abril,20:01 A 22:00,zapopan,CARRETERA A MORELIA,JUSTO SIERRA COL AGUA BLANCA,AGUA BLANCA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,10 A 19,V.W.,VOLKSWAGEN,GOLF,1994,,1,,,,,230,424,13173,9,663409.4888,2279427.555,matched (3),,,,,,,
11,martes,junio,18:01 A 20:00,zapopan,FRANCISCO VILLA COL AGUA BLANCA,JUSTO SIERRA COL AGUA BLANCA,AGUA BLANCA,CHOQUE,SIN ELEMENTOS,MOTOCICLETA,femenino,10 A 19,MB,MERCEDES-BENZ,GT 150 CC,2018,,2,,,,1572,1583,1645,22517,10,663695.9302,2279244.084,matched (3),,,,,,,
22,lunes,abril,14:01 A 16:00,zapopan,JUSTO SIERRA,PEDRO MORENO,AGUA BLANCA ESCONDIDA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,30 A 39,NISSAN,NISSAN,TSURU,1990,,1,,,,,2475,2625,15374,11,663996.3103,2279044.318,matched (3),,,,,,,
27,sabado,abril,04:01 A 06:00,zapopan,CARRETERA A TESISTAN,CALLE 4 COL ALAMITOS,ALAMITOS,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,NISSAN,NISSAN,TIIDA,2014,,2,,,,,2926,3065,15814,12,662618.0716,2296761.714,matched (3),,,,,,,
13,jueves,junio,02:01 A 04:00,zapopan,ALTAVISTA AV,RIO BLANCO AV,ALTA VISTA RESIDENCIAL,CHOQUE,SIN ELEMENTOS,TAXI,masculino,50 A 59,NISSAN,NISSAN,TSURU,1988,,2,,,,1774,1786,1848,22720,13,666652.009,2297747.818,matched (3),,,,,,,
3,miercoles,abril,20:01 A 22:00,zapopan,DE LA MANCHA AV,TALAVERA,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,femenino,30 A 39,CHEVROLET,CHEVROLET,PICK UP,2015,,2,,,herido,,439,629,13378,14,666971.9082,2294814.287,matched (3),,,,,,,
10,miercoles,abril,00:01 A 02:00,zapopan,PERIFERICO,PINO SUAREZ ZAP,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,TAXI,masculino,40 A 49,NISSAN,NISSAN,TSURU,N.D.,,2,,,,,1188,1365,14114,15,667898.9379,2294224.245,matched (3),,,,,,,
20,sabado,abril,10:01 A 12:00,zapopan,DE LA MANCHA AV,INDUSTRIA ZAP,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,CHEVROLET,CHEVROLET,CUTLAS,1994,,1,,,,,2275,2433,15182,16,667496.7218,2294535.835,matched (3),,,,,,,
24,miercoles,abril,16:01 A 18:00,zapopan,DE LA MANCHA AV,DEL ESCORIAL AV,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,NISSAN,NISSAN,TSURU,1995,,1,,,,,2669,2813,15562,17,667180.5982,2294771.665,matched (3),,,,,,,
9,domingo,junio,18:01 A 20:00,zapopan,DE LA MANCHA AV,INDUSTRIA TEXTIL AV,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,masculino,20 A 29,FCA MEXICO DODGE,FIAT CHRYSLER,RAM ,2005,,2,,,,1297,1306,1371,22243,18,667492.7981,2294561.335,matched (3),,,,,,,
14,viernes,junio,08:01 A 10:00,zapopan,PERIFERICO,PINO SUAREZ ZAP,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,20 A 29,CHEV.,CHEVROLET,ESTACAS,1989,,2,,,,1995,2009,2067,22939,19,667899.7916,2294230.638,matched (3),,,,,,,
18,martes,junio,18:01 A 20:00,zapopan,COVADONGA AV,CAMPO ALEGRE,ALTAGRACIA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,40 A 49,CHEVROLET,CHEVROLET,MAXI,1992,,1,,,,2551,2567,2619,23487,20,667217.793,2294444.587,matched (3),,,,,,,
15,martes,enero,10:01 A 12:00,zapopan,BASE AEREA MILITAR AV,SANTA MARGARITA,ALTAMIRA,CHOQUE,VIRAR  INDEBIDAMENTE,CAMIONETA DE CARGA,femenino,40 A 49,NISSAN,NISSAN,FRONTIER,2016,,,,10300,,,63,3939,3937,21,661230.6063,2293167.596,matched (3),,,,,,,
5,viernes,abril,08:01 A 10:00,zapopan,MANUEL AVILA CAMACHO AV,PATRIA AV,ALTAMIRA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,40 A 49,DODGE,DODGE,CAJA,1990,,1,,,,,659,840,13589,22,669124.7489,2291214.093,matched (3),,,,,,,
2,domingo,junio,00:01 A 02:00,zapopan,DE LAS AMERICAS AV,ROMANOS,ALTAMIRA,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,femenino,10 A 19,MAZDA,MAZDA,CX5,2016,,2,,,,138,138,210,21092,23,668148.5193,2291359.381,matched (3),,,,,,,
14,viernes,junio,12:01 A 14:00,zapopan,CARRETERA A TESISTAN,DE LAS CALANDRIAS AV,ANGEL LEAÑO,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,30 A 39,CHEVROLET,CHEVROLET,CHEVY,1999,,1,,,,1929,1943,2001,22873,24,660691.4175,2298211.234,matched (3),,,,,,,
22,sabado,junio,18:01 A 20:00,zapopan,FEDERALISTAS AV COL JARDINES DEL VALLE,DR ANGEL LEAÑO AV,ANGEL LEAÑO,CHOQUE,SIN ELEMENTOS,TRAILER,N.D,N.D,KENWORT,KENWORTH,TRAILER,1990,,2,,,,2947,2962,3010,23878,25,664954.8883,2295777.329,matched (3),,,,,,,
22,martes,enero,18:01 A 20:00,zapopan,LOPEZ MATEOS AV,PEDRO SIMON LAPLACE,ARBOLEDAS,CHOQUE,VIRAR  INDEBIDAMENTE,AUTOMOVIL,femenino,50 A 59,FORD,FORD,FIAT,2018,,,,25822,,,113,3989,3987,26,664950.2989,2282026.716,matched (3),,,,,,,
1,viernes,marzo,16:01 A 18:00,zapopan,MARIANO OTERO AV,GALILEO GALILEI,ARBOLEDAS,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,N.D,GM,GENERAL MOTORS,AVEO,N.D.,,,,,,,1,1,8490,27,663677.1694,2282202.782,matched (3),,,,,,,
5,miercoles,junio,16:01 A 18:00,zapopan,CRUZ DEL SUR AV,LOPEZ MATEOS AV,ARBOLEDAS,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,SIA,KIA,LOBO,2006,,2,,,,687,689,757,21635,28,665149.2889,2282352.417,matched (3),,,,,,,
11,martes,junio,16:01 A 18:00,zapopan,NICOLAS COPERNICO AV,VIRGEN,ARBOLEDAS,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,30 A 39,GM,GENERAL MOTORS,AVEO,2010,,2,,,,1600,1611,1673,22545,29,664735.6041,2281837.149,matched (3),,,,,,,
24,lunes,junio,04:01 A 06:00,zapopan,CARNERO,VIA LACTEA,ARBOLEDAS,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,CHRYSLER,CHRYSLER,NEON,2001,,2,,,,3170,3180,3228,24096,30,664372.102,2282056.423,matched (3),,,,,,,
14,viernes,junio,04:01 A 06:00,zapopan,GUADALUPE AV,MISION DE SAN PABLO,ARCOS DE GUADALUPE,CHOQUE,SIN ELEMENTOS,CAMIONETA DE PASAJEROS,N.D,N.D,TOYOTA,TOYOTA,SIENNA,2009,,2,,,,1956,1970,2028,22900,31,663185.7021,2285188.074,matched (3),,,,,,,
20,jueves,junio,12:01 A 14:00,zapopan,MISION DE SAN LUIS,COLONIA ARCOS DE GUADALUPE,ARCOS DE GUADALUPE,CHOQUE,SIN ELEMENTOS,TRANSPORTE PUBLICO,masculino,20 A 29,DINA,CAMION,URBANO,1993,N.D.,2,,,,2824,2839,2887,23755,32,663286.5932,2285353.096,matched (3),,,,,,,
18,jueves,enero,08:01 A 10:00,zapopan,PERIFERICO,LAURELES AV,ARCOS DE ZAPOPAN,CHOQUE,NO RESPETAR ALTO DE SEMAFORO,TRANSPORTE PUBLICO,masculino,30 A 39,MERCEDES BENZ,MERCEDES-BENZ,MB,2016,380,,,,,,35,94,94,33,666211.1959,2294010.554,matched (3),,,,,,,
31,jueves,enero,02:01 A 04:00,zapopan,ARCO DE LA ESTRELLA,ARCO IRIS,ARCOS DE ZAPOPAN,CONTRA VEHICULO ESTACIONADO,VIRAR  INDEBIDAMENTE,AUTOMOVIL,femenino,60 A 69,NISSAN,NISSAN,VERSA,2019,,,,5000,,,135,4011,4009,34,665376.3515,2294554.234,matched (3),,,,,,,
26,martes,febrero,18:01 A 20:00,zapopan,LAURELES AV,ARCO DEL TRIUNFO,ARCOS DE ZAPOPAN,ATROPELLAMIENTO,SIN ELEMENTOS,CAMION DE CARGA,masculino,30 A 39,FORD,FORD,3 TONELADAS,N.D.,,,,,,,69,33,4049,35,665785.9544,2294301.1,matched (3),,,,,,,
5,viernes,abril,08:01 A 10:00,zapopan,ARCO BALANCIN,ARCO DE TRAJANO,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,SIN DATOS,N.D,N.D,SIN DATOS,N.D.,SIN DATOS,N.D.,,2,,,,,676,857,13606,36,665525.2524,2294153.556,matched (3),,,,,,,
11,jueves,abril,08:01 A 10:00,zapopan,ARCO DEL TRIUNFO,ARCO ROMANICO,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,TAXI,N.D,N.D,NISSAN,NISSAN,TION,2013,,2,,,,,1336,1509,14258,37,665704.6689,2294181.21,matched (3),,,,,,,
18,jueves,abril,16:01 A 18:00,zapopan,CARRETERA A TESISTAN,ARCO ESCOCES,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,N.D,N.D,FORD,FORD,CONTUR,1990,,2,,,,,2165,2322,15071,38,665612.8852,2294510.822,matched (3),,,,,,,
20,sabado,abril,14:01 A 16:00,zapopan,PERIFERICO,LAURELES AV,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,femenino,20 A 29,V.W.,VOLKSWAGEN,SEDAN,1993,,2,,,,,2298,2456,15205,39,666215.0772,2294010.592,matched (3),,,,,,,
26,viernes,abril,00:01 A 02:00,zapopan,PERIFERICO,LAURELES AV,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,CAMION DE CARGA,masculino,20 A 29,DINA,CAMION,CAMION,1976,,2,,,,,2836,2974,15723,40,666214.339,2294006.726,matched (3),,,,,,,
27,sabado,abril,16:01 A 18:00,zapopan,CARRETERA A TESISTAN,ARCO DE LA ESTRELLA,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,V.W.,VOLKSWAGEN,SEDAN,1969,,1,,,,,2908,3047,15796,41,665408.9184,2294596.839,matched (3),,,,,,,
27,sabado,abril,02:01 A 04:00,zapopan,PERIFERICO,LAURELES AV,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,40 A 49,JLG LIFT,MAQUINARIA,GRUA,2014,,2,,,,,2948,3087,15836,42,666210.7734,2294014.022,matched (3),,,,,,,
27,sabado,abril,08:01 A 10:00,zapopan,CARRETERA A TESISTAN,ARCO DEL TRIUNFO,ARCOS DE ZAPOPAN,CHOQUE,SIN ELEMENTOS,AUTOMOVIL,masculino,20 A 29,AUDI,AUDI,SPORT,2011,,2,,,,,2953,3092,15841,43,665788.3165,2294302.369,matched (3),,,,,,,
2,jueves,mayo,08:01 A 10:00,zapopan,ARCO DEL TRIUNFO,ARCO IRIS,ARCOS DE ZAPOPAN,ATROPELLAMIENTO,SIN ELEMENTOS,CAMIONETA DE CARGA,masculino,N.D,NISSAN,NISSAN,NP 300,N.D.,,,,,,,5,1,16410,44,665758.795,2294265.033,matched (3),,,,,,,
13,jueves,junio,12:01 A 14:00,zapopan,CARRETERA A TESISTAN,PERIFERICO,ARCOS DE ZAPOPAN,CHOQUE,VIRAR  INDEBIDAMENTE,TRANSPORTE PUBLICO,masculino,40 A 49,DINA,CAMION,DINA,2015,13,,,,,,25,37,20921,45,666089.6628,2294132.071,matched (3),,,,,,,
